1#Product 1#9721.89#10
2#Product 2#6060.78#6
3#Product 3#1808.79#2
4#Product 4#51.06#6
5#Product 5#849.36#6
6#Product 6#4777.51#10
7#Product 7#8720.91#1
8#Product 8#7592.44#4
9#Product 9#851.67#2
10#Product 10#7314.55#9
11#Product 11#5646.81#3
12#Product 12#6911.2#1
13#Product 13#604.58#5
14#Product 14#7423.48#3
15#Product 15#3125.96#2
16#Product 16#9933.3#10
17#Product 17#5593.16#4
18#Product 18#6022.88#10
19#Product 19#5775.99#1
20#Product 20#4589.79#4
21#Product 21#4330.68#7
22#Product 22#8486.42#2
23#Product 23#6878.18#10
24#Product 24#4150.34#2
25#Product 25#437.5#9
26#Product 26#742.84#5
27#Product 27#6787.96#6
28#Product 28#711.88#1
29#Product 29#4691.13#7
30#Product 30#4570.99#6
31#Product 31#4114.86#10
32#Product 32#3132.7#8
33#Product 33#9785.44#9
34#Product 34#6363.95#9
35#Product 35#6660.97#5
36#Product 36#8660.55#9
37#Product 37#6790.22#8
38#Product 38#5088.35#4
39#Product 39#3465.69#9
40#Product 40#5787.13#2
41#Product 41#8673.6#2
42#Product 42#3533.42#10
43#Product 43#2718.14#1
44#Product 44#2531.15#1
45#Product 45#6225.99#5
46#Product 46#8508.89#1
47#Product 47#7673.37#9
48#Product 48#6918.75#8
49#Product 49#7927.19#8
50#Product 50#8379.93#6
51#Product 51#8875.2#7
52#Product 52#4037.85#10
53#Product 53#6610.78#6
54#Product 54#4982.5#5
55#Product 55#6369.46#6
56#Product 56#2509.1#5
57#Product 57#2626.88#2
58#Product 58#461.08#3
59#Product 59#6326.7#1
60#Product 60#2709.54#6
61#Product 61#3906.32#4
62#Product 62#6248.36#3
63#Product 63#8131.85#3
64#Product 64#3003.77#4
65#Product 65#7783.79#5
66#Product 66#5638.98#1
67#Product 67#1368.53#8
68#Product 68#6295.48#1
69#Product 69#7907.21#4
70#Product 70#5.1#1
71#Product 71#7843.59#2
72#Product 72#8693.64#8
73#Product 73#5919.78#5
74#Product 74#7443.91#9
75#Product 75#866.69#7
76#Product 76#4171.55#1
77#Product 77#4101.3#2
78#Product 78#5326.35#5
79#Product 79#4218.17#4
80#Product 80#4334.82#2
81#Product 81#29.65#4
82#Product 82#3117.79#3
83#Product 83#9511.99#9
84#Product 84#2044.61#8
85#Product 85#3551.83#3
86#Product 86#3255.4#9
87#Product 87#6252.58#4
88#Product 88#5247.51#4
89#Product 89#9376.44#5
90#Product 90#5887.49#1
91#Product 91#5834.85#6
92#Product 92#3209.34#4
93#Product 93#3715.07#4
94#Product 94#1544.25#7
95#Product 95#8255.65#9
96#Product 96#1305.04#1
97#Product 97#8835.52#1
98#Product 98#8763.57#5
99#Product 99#2589.29#2
100#Product 100#7040.56#8
